student_id,attendance_rate,avg_marks,failed_subjects,fee_delay_days,guardian_income,disciplinary_actions,previous_dropout_risk,dropout
1,62.47,42.03,3,55,81458,2,0,1
2,97.04,65.22,2,85,42526,2,1,1
3,83.92,86.74,3,86,88493,0,1,1
4,75.92,77.59,5,44,67198,4,1,1
5,49.36,82.43,1,33,58395,2,1,1
6,49.36,72.82,5,8,39031,0,1,1
7,43.49,75.0,1,87,90542,3,0,1
8,91.97,85.2,0,7,52701,2,0,0
9,76.07,46.23,4,6,40939,4,1,1
10,82.48,61.81,5,35,64145,2,0,1
11,41.24,44.38,3,17,35324,3,1,1
12,98.19,94.2,0,2,37867,2,1,0
13,89.95,91.36,4,27,15203,4,1,1
14,52.74,32.56,3,69,31544,0,0,1
15,50.91,75.86,2,43,30899,4,0,1
16,51.0,90.14,3,20,44063,0,1,1
17,58.25,41.74,1,27,18748,1,0,0
18,71.49,66.92,1,53,81629,4,0,0
19,65.92,89.51,2,53,95764,4,1,1
20,57.47,32.21,0,64,35884,3,0,1
21,76.71,75.33,4,20,40183,2,0,0
22,48.37,49.33,3,12,96570,0,1,1
23,57.53,90.09,1,56,86246,0,1,0
24,61.98,93.12,0,48,34259,3,0,0
25,67.36,91.38,2,53,50959,3,1,1
26,87.11,60.82,5,9,48457,2,0,1
27,51.98,86.03,1,52,17103,2,1,1
28,70.85,84.9,2,43,80901,4,1,1
29,75.54,50.74,3,46,59535,1,1,1
30,42.79,83.88,4,52,31103,2,1,1
31,76.45,32.41,1,73,93278,3,0,1
32,50.23,68.76,1,45,27391,2,1,1
33,43.9,44.95,3,12,43901,0,1,1
34,96.93,37.84,5,36,96159,1,1,1
35,97.94,35.0,0,23,82914,4,0,0
36,88.5,75.26,4,1,65357,0,0,0
37,58.28,52.09,1,85,53437,0,1,1
38,45.86,77.11,4,80,50503,1,1,1
39,81.05,34.25,1,13,90403,4,1,1
40,66.41,50.49,4,9,56258,3,1,1
41,47.32,65.07,2,34,48724,4,1,1
42,69.71,81.4,1,24,79286,2,1,0
43,42.06,50.72,4,2,89842,0,0,1
44,94.56,70.68,0,16,29908,2,1,0
45,55.53,87.59,2,11,65626,3,1,1
46,79.75,70.03,2,53,52228,2,1,1
47,58.7,45.14,0,23,38386,4,1,1
48,71.2,31.59,4,28,61754,2,1,1
49,72.8,86.56,3,42,43302,3,1,1
50,51.09,31.38,0,24,75815,3,0,0
51,98.18,86.86,4,59,99748,3,0,0
52,86.51,64.38,0,89,78344,4,0,0
53,96.37,91.04,0,64,50618,3,0,0
54,93.69,81.92,1,83,91234,0,0,0
55,75.87,94.87,4,27,76114,3,0,0
56,95.31,52.8,3,15,85130,2,1,1
57,45.31,79.87,1,46,40525,2,1,1
58,51.76,56.13,0,80,94818,2,1,1
59,42.71,61.19,5,57,29334,4,1,1
60,59.52,70.79,0,75,77767,2,1,1
61,63.32,86.79,0,26,21644,4,1,0
62,56.28,93.97,4,52,47933,4,0,1
63,89.72,79.94,4,41,58469,3,1,1
64,61.41,57.15,1,58,48687,0,0,0
65,56.86,57.39,3,46,67656,3,0,1
66,72.56,77.94,1,33,32375,3,1,1
67,48.46,45.52,2,36,80206,4,1,1
68,88.13,37.18,0,5,51607,4,1,1
69,44.47,53.05,5,6,98178,2,1,1
70,99.21,48.67,0,24,38993,2,1,0
71,86.33,49.26,0,32,59386,3,1,0
72,51.92,45.18,1,54,61287,1,1,1
73,40.33,32.74,5,57,91312,1,0,1
74,88.93,31.16,5,6,90324,2,1,1
75,82.41,94.2,5,56,86196,1,1,1
76,83.74,57.81,1,11,85014,2,0,0
